Geneid	HISAT2 on data 144 and data 1: aligned reads (BAM)
AFUB_005440	11055
AFUB_005450	2796
AFUB_005460	3307
AFUB_005470	0
AFUB_005480	2610
AFUB_005490	30454
AFUB_005500	246
AFUB_005510	1198
AFUB_005520	2563
AFUB_005530	513
AFUB_005540	385
AFUB_005550	2038
AFUB_005560	17456
AFUB_005570	9324
AFUB_005580	305
AFUB_005590	9692
AFUB_005600	7612
AFUB_005610	1725
AFUB_005620	188
AFUB_005630	3928
AFUB_005640	27
AFUB_005650	2793
AFUB_005660	6869
AFUB_005670	1237
AFUB_005680	757
AFUB_005690	8320
AFUB_005700	81
AFUB_005710	242
AFUB_005720	696
AFUB_005730	429
AFUB_005740	124322
AFUB_005750	4064
AFUB_005760	6176
AFUB_005770	3882
AFUB_005780	477
AFUB_005790	1542
AFUB_005800	280
AFUB_005810	483
AFUB_005820	1164
AFUB_005830	12276
AFUB_005840	10638
AFUB_005850	1284
AFUB_005860	986
AFUB_005870	506
AFUB_005880	1130
AFUB_005890	1840
AFUB_005900	4231
AFUB_005910	246
AFUB_005920	3604
AFUB_005930	1065
AFUB_005940	8547
AFUB_005950	88
AFUB_005960	1
AFUB_005970	0
AFUB_005980	12697
AFUB_005990	6975
AFUB_006000	17666
AFUB_006010	2594
AFUB_006020	2383
AFUB_006029	868
AFUB_006030	417
AFUB_006040	226
AFUB_006050	6192
AFUB_006060	1455
AFUB_006070	307
AFUB_006080	264
AFUB_006090	30168
AFUB_006100	2513
AFUB_006110	0
AFUB_006120	866
AFUB_006130	314
AFUB_006140	874
AFUB_006150	707
AFUB_006160	601
AFUB_006170	117
AFUB_006180	13953
AFUB_006190	20247
AFUB_006200	2351
AFUB_006210	1010
AFUB_006220	8861
AFUB_006230	1874
AFUB_006240	50
AFUB_006250	112
AFUB_006260	991
AFUB_006270	11
AFUB_006280	15
AFUB_006290	5496
AFUB_006300	371
AFUB_006310	3653
AFUB_006320	5044
AFUB_006330	693
AFUB_006340	2595
AFUB_006350	1418
AFUB_006360	2150
AFUB_006370	421
