Geneid	HISAT2 on data 67 and data 1: aligned reads (BAM)
AFUB_007210	40586
AFUB_007220	3164
AFUB_007230	2255
AFUB_007240	4287
AFUB_007250	798
AFUB_007260	1360
AFUB_007270	2093
AFUB_007280	3969
AFUB_007290	233
AFUB_007300	6416
AFUB_007310	1101
AFUB_007320	8142
AFUB_007330	2719
AFUB_007340	25773
AFUB_007350	560
AFUB_007360	9454
AFUB_007370	1550
AFUB_007380	4366
AFUB_007390	1480
AFUB_007400	22
AFUB_007410	391
AFUB_007420	1868
AFUB_007430	4583
AFUB_007440	1413
AFUB_007450	15146
AFUB_007460	445
AFUB_007470	4281
AFUB_007480	491
AFUB_007490	5185
AFUB_007500	3139
AFUB_007510	6592
AFUB_007520	3702
AFUB_007530	1735
AFUB_007540	13
AFUB_007550	1043
AFUB_007560	2364
AFUB_007570	555
AFUB_007580	4566
AFUB_007590	174
AFUB_007600	1328
AFUB_007610	6077
AFUB_007620	1729
AFUB_007630	221
AFUB_007640	6303
AFUB_007650	2061
AFUB_007660	1918
AFUB_007670	2694
AFUB_007680	66
AFUB_007690	894
AFUB_007700	1068
AFUB_007710	773
AFUB_007720	32
AFUB_007730	37048
AFUB_007740	1245
AFUB_007750	1103
AFUB_007760	1189
AFUB_007770	67355
AFUB_007780	12091
AFUB_007790	5193
AFUB_007800	82625
AFUB_007810	3259
AFUB_007820	318
AFUB_007830	1724
AFUB_007840	1044
AFUB_007850	6527
AFUB_007860	4591
AFUB_007865	254
AFUB_007870	27
AFUB_007880	374
AFUB_007890	801
AFUB_007900	1349
AFUB_007910	3027
AFUB_007920	467
AFUB_007930	1020
AFUB_007940	1250
AFUB_007950	1329
AFUB_007960	6962
AFUB_007970	4070
AFUB_007980	775
AFUB_007990	1337
AFUB_008000	3215
AFUB_008010	2132
AFUB_008020	5824
AFUB_008030	4898
AFUB_008040	1840
AFUB_008050	12211
AFUB_008060	528
AFUB_008070	3792
AFUB_008080	1734
AFUB_008090	1733
AFUB_008100	2930
AFUB_008110	1325
AFUB_008120	1822
AFUB_008130	12839
AFUB_008140	1153
AFUB_008150	3008
AFUB_008160	1436
AFUB_008170	12833
AFUB_008180	1
AFUB_008190	0
AFUB_008200	0
AFUB_008210	0
AFUB_008220	0
AFUB_008230	987
AFUB_008240	1574
AFUB_008250	1862
AFUB_008260	10094
AFUB_008270	1697
AFUB_008280	636
AFUB_008290	3078
AFUB_008300	1074
AFUB_008310	3548
AFUB_008320	3920
AFUB_008330	1825
AFUB_008340	2393
AFUB_008350	2359
AFUB_008360	3494
AFUB_008370	704
AFUB_008380	3101
AFUB_008390	5065
AFUB_008400	2538
AFUB_008410	890
AFUB_008420	866
AFUB_008430	10272
AFUB_008440	4954
AFUB_008450	12350
AFUB_008460	3081
AFUB_008470	771
AFUB_008480	1697
AFUB_008490	4576
AFUB_008500	1331
