baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Significance	Color	Gene
7.2708801825948	-2.73135260931002	1.8528904185186	-1.47410369334942	0.140453674267277	0.441673944508536	Not Significant	grey	100503381
187.120182446175	0.0204926655091576	0.415716223698295	0.0492948418679713	0.960684330115435	0.99066088274106	Not Significant	grey	69737
57.7564677264293	2.02407225183976	0.666814307876311	3.03543614456337	0.00240188077919728	0.0304396186887097	Significant	red	20017
93.3058403264643	0.194792096912188	0.560381739936644	0.347606074627291	0.728136043576544	0.913651959805304	Not Significant	grey	66170
1184.82040802096	0.071268311534644	0.333640032873314	0.213608393815574	0.830852453159353	0.952737669447537	Not Significant	grey	20515
11.2935149762198	-1.58246054034776	1.31236242636537	-1.20581061188291	0.227890522837901	0.566943050514388	Not Significant	grey	329513
14.7682241115781	0.585019987381613	1.16465682859307	0.502311043922124	0.615448741847078	0.864334468954608	Not Significant	grey	70466
12.4988194977642	0.1480285706086	1.22406322970763	0.1209321275372	0.903744794816178	0.974566902445356	Not Significant	grey	100503468
207.404047215778	-0.652996711143167	0.522498822235308	-1.24975728815919	0.211388222975278	0.544767920926271	Not Significant	grey	16175
986.078881157885	-0.394432978794129	0.370309996807407	-1.06514267018092	0.286811372291416	0.633389194489711	Not Significant	grey	16176
5.39491423441241	-0.755310896045108	1.7107383497503	-0.441511640956289	0.65884263591703	0.883304249257248	Not Significant	grey	329514
8.88567853121323	1.68240964399251	1.41952065839615	1.18519560391138	0.235940117679004	0.576020532926783	Not Significant	grey	668896
4526.01383371206	1.15862151790929	0.313005514339454	3.7016009777156	0.000214243360533882	0.00495744777813851	Significant	red	19261
6.75760586876364	-0.36571114119612	1.55330879175338	-0.235440076781709	0.813867183377541	0.945368521107865	Not Significant	grey	654409
308.537430657678	0.0256583415966038	0.404354073504828	0.0634551332059165	0.949404085717154	0.988555980354067	Not Significant	grey	67333
1220.76996946203	0.284433445390515	0.349749308600277	0.813249485835553	0.416075032390367	0.744513102589291	Not Significant	grey	20638
149.734148113855	1.07679389341965	0.498529631733572	2.15993960013016	0.0307773456510172	0.181353870491706	Significant	red	67134
818.501152275427	-0.0154155796478651	0.343034856001835	-0.0449388141704835	0.964156078847089	0.991588562244321	Not Significant	grey	170718
4.50740154010391	0.188681567825658	2.11055122906349	0.0893991888125743	0.928764668125304	0.982310592895472	Not Significant	grey	56264
121.171038107782	0.129684847025513	0.484012645394336	0.267936898466477	0.788747890876268	0.937013068480318	Not Significant	grey	319513
521.230984441717	-0.0367564888697865	0.353900431957324	-0.1038611020238	0.917279576196334	0.979307351265026	Not Significant	grey	80743
564.151483310603	0.672575307016094	0.345182585442784	1.9484624525694	0.0513596533457946	0.249754874683775	Not Significant	grey	19262
102.220245741047	1.69925917291026	0.512161829164134	3.31781690112188	0.000907239351320509	0.0144278548961516	Significant	red	99045
33.2931729389029	0.941725240852001	0.766488799150692	1.22862231241406	0.219213445871399	0.554911149368382	Not Significant	grey	140629
29.2259584471781	0.386921777026132	0.795234060299458	0.486550811066154	0.626576689120782	0.867918416274795	Not Significant	grey	380601
47.8541711029528	-0.428132719628569	0.650931502959519	-0.657723151640418	0.510716042903877	0.807294091246567	Not Significant	grey	241638
239.550448731562	1.0936855678403	0.398069553692682	2.74747354499925	0.0060056353651449	0.0604711711363784	Significant	red	77006
43.6555776858097	0.493390771850768	0.742344707560557	0.664638363856753	0.506281825315903	0.804384708737378	Not Significant	grey	16434
