"","V1"
"AFUB_001770",0.0685384525091617
"AFUB_001780",0.319377670953328
"AFUB_001790",0.0130025392315782
"AFUB_001800",0.783883649838822
"AFUB_001810",4.79395876919547e-05
"AFUB_001820",0.710410519607933
"AFUB_001830",0.00248233466864858
"AFUB_001840",0.649392007517597
"AFUB_001850",0.0667436863783912
"AFUB_001860",0.00842107573126727
"AFUB_001870",0.0417769660044568
"AFUB_001880",0.000420190386938965
"AFUB_001890",0.000480862980525524
"AFUB_001900",0.0491022361373425
"AFUB_001910",6.41450618874272e-05
"AFUB_001920",0.71146952834248
"AFUB_001930",0.8441511812825
"AFUB_001940",0.0183018931056567
"AFUB_001950",0.410776516721072
"AFUB_001960",0.00531784445517857
"AFUB_001970",0.904524726807547
"AFUB_001980",0.0605095914037298
"AFUB_001990",0.250819373411003
"AFUB_002000",9.9555625267442e-06
"AFUB_002010",0.000399796604617323
"AFUB_002020",0.844622042019418
"AFUB_002030",0.000125194464971935
"AFUB_002040",0.0557492396125228
"AFUB_002050",0.00878489673626126
"AFUB_002060",0.00759362632860813
"AFUB_002070",0.0278449291748975
"AFUB_002080",0.528220171215782
"AFUB_002090",0.401003489783553
"AFUB_002100",0.545165299334155
"AFUB_002120",0.120967616322351
"AFUB_002130",0.0684995274585176
"AFUB_002140",0.161155186121779
"AFUB_002150",0.00209082188480421
"AFUB_002160",0.969164972480041
"AFUB_002170",0.114337396844414
"AFUB_002180",0.0420206172589855
"AFUB_002190",0.321283931916522
"AFUB_002200",0.395300297546769
"AFUB_002230",0.623390899654251
"AFUB_002240",0.192591189458788
"AFUB_002250",0.458729482622729
"AFUB_002260",0.370022698937021
"AFUB_002270",0.134576741990166
"AFUB_002280",0.018343130574571
"AFUB_002290",0.00135039539582237
"AFUB_002300",0.0247313958406865
"AFUB_002310",0.00965753911403189
"AFUB_002320",0.687498179401336
"AFUB_002330",0.00155840334475048
"AFUB_002340",0.0178213071040043
"AFUB_002350",0.0105298658155267
"AFUB_002360",0.14547398610368
"AFUB_002370",0.203411686385736
"AFUB_002380",0.878754477765806
"AFUB_002390",0.000111659776595068
"AFUB_002400",0.952333625837999
"AFUB_002410",0.000736450520470664
"AFUB_002420",0.00651554793508722
"AFUB_002430",0.00049052533401875
"AFUB_002440",0.0838941290408896
"AFUB_002450",0.000558034578449826
"AFUB_002460",0.507464880677022
