Geneid	HISAT2 on Control2 (BAM)
620750	0
381305	471
11905	39137
240869	65
14455	483
100628588	0
100217446	3
226539	253
70454	56
226541	165
73844	0
100502590	0
11758	9923
22164	0
240873	0
14103	0
226551	322
75368	0
67292	321
103967	5
72753	0
474332	15
723821	0
387210	0
71449	192
53330	170
17926	0
100038657	0
226562	1080
226564	466
14261	8238
55990	1903
226565	3
14262	3915
78258	0
18933	8
98376	97
240879	0
16579	253
240880	626
381306	24
69962	75
20339	4
20343	40
20344	25
100503816	67
14067	10493
116914	2383
74895	80
66352	260
171567	158
11931	1290
56429	166
433374	4
16963	9
69476	0
75857	0
83993	0
108735	1751
226591	455
240888	0
74106	810
70456	4161
271639	0
68481	238
100503268	0
226594	121
100503283	0
433375	6727
12503	8
18986	184
240892	0
59290	0
98558	0
100039795	1351
100503318	8
27878	386
71592	144
226601	0
226604	0
240894	0
100503962	0
226610	0
80914	117
68944	1099
100862084	0
56752	5279
66447	440
240899	0
100503977	0
20183	249
110648	0
18514	468
66977	19
19737	133
100862094	115
19736	24
78465	2
15490	1736
67303	19
18214	168
107652	631
16589	186
545378	0
622708	4
26904	4
665574	105
76925	3
70729	31
320078	7
226641	1380
80915	334
435653	0
98752	10
14130	626
246256	85
14131	145
75472	18
66052	2962
17528	15
66425	741
12355	2320
641376	1923
11807	98162
14127	109
226646	4040
240913	13
57370	234
19044	467
30941	298
66155	545
100862110	0
100504072	13
21945	635
27045	985
18637	447
68874	108
71740	8
226652	159
22278	462
226654	525
16456	1949
56009	59
16429	0
18106	4
17085	60
75345	8
12506	70
100041098	188
27218	4
12523	121
100038548	0
100862186	0
30925	8
93840	9
18071	0
59287	853
12847	3250
100504176	1
19298	1909
98193	2462
18611	509
12372	1
27222	0
98660	6
140559	214
16524	9
16513	98
67556	331
100862199	0
98365	6
93842	0
21346	159
71870	2
71319	0
240916	2
74748	8
677296	0
68440	101
100040320	1
12944	8774
20219	10205
18313	0
258759	0
258758	0
258880	0
258881	0
14125	0
258645	0
100504232	0
13349	93
94332	205
383619	56
240921	3
545384	4
623121	0
236312	17
100033459	14
100504251	3
226691	75
15951	83
100504287	17
666028	0
100040462	152
381308	13
15950	292
26388	115
226695	13
258712	2
258711	0
258713	0
258717	0
259162	0
404222	0
258716	0
258715	0
258302	0
20739	31
258710	0
