Geneid	Mouse_Uninf_1_SRR17015118
22639	7
215085	0
100862347	0
100038725	269
100502820	7
18821	86
432460	0
100502868	0
71567	203
66403	162
100042554	24
75906	14
17155	3461
100502920	12
544696	31
73390	27
14609	344
100862378	0
791298	0
74928	0
15500	106
56442	2465
18768	251
12140	28
100502970	2
57319	1173
100504180	0
74399	0
245263	0
791309	2
70297	510
110829	6216
19386	10589
76138	16
13608	0
103505	0
237353	0
103080	72
268301	1480
18451	2062
69836	0
18302	55
215999	461
216001	846
56709	160
100503588	6
74747	339
52717	159
69090	60
94214	8
53374	96
19156	40761
22295	595
74048	8524
100302688	43
71279	801
107449	12
100503834	0
73616	3
327760	0
13180	42
20397	13546
65971	1
237360	50
100862379	0
18646	118
27355	45
18119	0
13688	582
100503821	142
216011	27
237362	0
67895	312
20224	1628
71767	136
71361	302
404634	8
100628583	0
12817	0
432466	143
69894	0
11925	0
70423	0
21337	0
15275	3397
70162	12
216019	0
338359	201
74706	24
30930	2753
19073	67323
72320	274
56200	3383
100862011	0
94213	801
216021	0
67500	1748
100217463	11
52463	2
73132	193
327762	485
70432	358
432467	58
67307	2
68371	15
53404	0
68802	0
641387	22
67345	2784
100502721	288
93759	1246
30045	25
216033	0
791346	0
216028	0
100502808	0
69433	0
28193	4305
108829	9833
641340	135
13654	1523
211488	690
100038508	16
216049	0
170799	2
71371	3160
100503521	0
75148	0
73287	1
327766	340
69288	78
320700	10
12534	17
11735	0
76551	289
69563	0
66859	2
71721	0
70911	0
319646	0
83675	3
319572	0
21780	234
216080	216
52637	69
69718	591
622812	0
108950	0
100040505	14
52696	354
327768	0
100861952	0
11994	0
71236	0
14687	0
76877	0
110279	168
74392	936
11540	394
544707	1
103149	28
71125	6
68778	867
67332	375
192734	31
14598	112
23887	489
100503432	14
71733	8
104248	824
13202	82
103140	20
14871	8
75886	3
14872	45
17319	170
70377	22
20587	333
100861975	0
17385	1
103172	4
333670	0
22364	2
333669	2
64453	113
64454	1
64452	0
15468	36
751554	0
20203	2
64451	109
18541	603
67523	4
76964	0
216119	33
54387	732
16987	98
74953	4
76573	0
14317	0
12834	8
100861980	0
12833	11
59093	4
100038479	0
20509	66
12822	13
100169878	0
80294	552
110532	39
100045653	0
108707	373
16414	17992
108705	987
20610	436
22213	518
100316811	1
100502831	0
670895	0
16697	0
100009614	0
100502921	0
16694	0
100502953	0
77763	0
100041250	0
100041261	0
634517	0
100041281	0
634504	0
675294	0
100503388	0
670880	0
100040299	0
100191037	0
544710	0
622629	0
100041351	0
252974	0
75188	0
237387	6
28240	2977
67884	98
18641	2485
11634	0
54427	41
50723	801
100503488	0
28295	44
110816	474
216131	1131
28169	147
18114	1059
13014	2503
216134	582
791283	0
258224	0
216136	76
71709	2
257883	0
12365	0
70976	0
20513	0
258305	0
257734	0
259163	0
18372	0
259044	0
259074	0
259042	0
18357	0
72128	71
624765	0
216144	0
624845	0
625029	0
50784	77
