Geneid	Mouse_Uninf_3_SRR17015120
72017	1524
72674	4837
100861791	6
240756	1038
98710	1387
100503055	2
71001	0
75605	2351
20980	0
329251	437
67196	35
329252	0
13924	143
100038590	9
320139	4297
68724	2937
171469	0
13710	6
215615	5609
21854	827
93689	2
77552	0
226432	2493
215690	5077
13007	777
27280	216
21952	0
16763	53
21956	0
18772	0
226438	2
66241	244
12292	170
329253	8
16565	7702
76422	4
67313	0
100042513	0
383563	7
67886	3117
320054	74
67997	308
381293	158
71084	0
226442	2673
100503460	33
100503474	0
667686	0
26424	0
320138	171
735252	6
723890	5
19264	43806
338375	0
59125	4398
545363	0
16876	2
69549	47
75546	0
329260	4138
170788	0
71209	0
226470	1394
12316	504
14060	0
50702	0
624286	1
214403	3
545366	12
12628	24626
240776	4
75910	0
226472	0
214498	789
26878	256
69367	657
20822	1080
56207	811
19735	3598
100861894	0
246709	100
50778	402
624910	0
64214	1701
215378	0
100043240	0
791353	0
100503781	0
18783	3070
320019	0
19225	181
100043257	428
100043261	0
20028	0
75584	0
226499	1558
108989	18227
96875	32953
545370	11
402734	0
73176	0
117198	6510
66875	1289
98685	1470
19821	1785
100503012	23
63913	2152
66967	4146
69399	371
66637	189
269132	3
19731	1843
100861876	2
71281	0
67771	8231
100503084	2
17970	7848
226517	4882
226518	6
16782	9
226519	3282
626058	624
71836	85
13211	11765
74091	105
67792	0
329271	0
19734	5
24014	3881
240816	0
240817	0
433365	2
240819	3
14645	15142
100861882	0
207678	0
78112	0
12290	4802
15939	4388
15064	268
58244	1098
207792	16
100503411	6
19775	3603
433367	4
72482	615
16872	0
100861926	2
104009	564
74081	7995
208263	5267
240832	4912
329274	0
214575	60
170484	55
77352	35
20652	6826
11352	3255
30935	2031
100503836	1
215015	2363
78255	4330
72713	325
73435	0
226525	683
69953	188
226527	135
89867	175
100504090	1
240843	0
11899	0
735253	0
23850	0
72025	0
26374	2189
100217414	140
21960	2
67647	2619
75255	62
329278	8
64659	747
12301	2205
29809	4575
100316784	9
620246	42
620750	1
381305	6629
11905	24
240869	1018
14455	7044
100628588	0
100217446	164
226539	541
70454	326
226541	1348
73844	1
100502590	0
11758	5204
22164	63
240873	44
14103	64
226551	3148
75368	2
67292	747
103967	74
72753	0
474332	11
723821	0
387210	0
71449	692
53330	1772
17926	1
100038657	0
226562	11524
226564	0
14261	0
55990	4
226565	0
14262	0
78258	0
18933	27
98376	400
240879	0
16579	463
240880	1879
381306	101
69962	180
20339	177
20343	11987
20344	16574
100503816	80
14067	50022
116914	351
74895	222
66352	667
171567	236
11931	185
56429	0
433374	10
16963	49
69476	0
75857	0
83993	1
108735	4618
226591	1126
240888	0
74106	1111
70456	637
271639	1
68481	19
