fromNode	toNode	weight	direction
58497	1847	0.149603469046231	undirected
81609	1847	0.159317348478654	undirected
6016	1847	0.193206086219768	undirected
9019	1847	0.156417762532615	undirected
51278	1847	0.163777987537372	undirected
6041	1847	0.156403357594179	undirected
5743	1847	0.156263738343998	undirected
84919	1847	0.174556455164258	undirected
9261	1847	0.17050988801669	undirected
126731	1847	0.148505686175405	undirected
8564	1847	0.151962382423598	undirected
1122	1847	0.176591410022239	undirected
80851	1847	0.151885620174174	undirected
84991	1847	0.153599556404283	undirected
22931	1847	0.159512644382342	undirected
7582	1847	0.16250005999112	undirected
29760	1847	0.179227931588743	undirected
85450	1847	0.176926633269671	undirected
10285	1847	0.156975434563849	undirected
2782	51703	0.155515859469041	undirected
55629	51703	0.157315899986171	undirected
10772	51703	0.158299750819491	undirected
57134	51703	0.150318860436968	undirected
80149	51703	0.159145343027986	undirected
8790	51703	0.164953883042841	undirected
5567	51703	0.15612806095203	undirected
6884	51703	0.154972335596499	undirected
6016	51703	0.15097515257429	undirected
9261	51703	0.156987311196831	undirected
126731	51703	0.14849895516835	undirected
8564	51703	0.16937456615243	undirected
84991	51703	0.151362536016786	undirected
7582	51703	0.151316840315855	undirected
310	51703	0.159831652977415	undirected
266971	51703	0.154460243228811	undirected
1847	51703	0.164636236840777	undirected
50486	64429	0.156092434100848	undirected
7582	64429	0.163512897349088	undirected
1847	64429	0.156462038836112	undirected
84919	142940	0.150716651676502	undirected
84919	9531	0.163579755815325	undirected
1847	9531	0.148700545286146	undirected
79699	11101	0.168124849928209	undirected
55526	9184	0.149192554594717	undirected
7582	9184	0.148563401587578	undirected
55629	9679	0.168368995624429	undirected
54707	9679	0.150610643650631	undirected
6421	9679	0.155542787799246	undirected
84938	9679	0.154066456276767	undirected
8790	9679	0.157757704544507	undirected
284695	9679	0.153551159881607	undirected
30836	9679	0.158775701494294	undirected
10390	9679	0.152743801148561	undirected
6016	9679	0.14855402278516	undirected
5743	9679	0.156715257178597	undirected
